YEAR,DISPOSITION,OFFENSE TYPE,RACE,DEFENDANT COUNT
2011,,Aggravated Battery,Black,1
2011,,Aggravated Battery With A Firearm,Black,1
2011,,Aggravated DUI,,2
2011,,Aggravated DUI,Black,2
2011,,Aggravated DUI,White [Hispanic or Latino],2
2011,,Aggravated Fleeing and Eluding,Black,1
2011,,Armed Robbery,Black,8
2011,,Armed Robbery,White,3
2011,,Armed Robbery,White [Hispanic or Latino],3
2011,,Arson,Black,1
2011,,Burglary,Black,5
2011,,Burglary,HISPANIC,1
2011,,Burglary,White [Hispanic or Latino],2
2011,,Criminal Damage to Property,,1
2011,,Criminal Damage to Property,White,1
2011,,Criminal Damage to Property,White [Hispanic or Latino],1
2011,,Domestic Battery,Black,1
2011,,Domestic Battery,White [Hispanic or Latino],1
2011,,Driving With Suspended Or Revoked License,,1
2011,,Driving With Suspended Or Revoked License,Black,1
2011,,Driving With Suspended Or Revoked License,White,1
2011,,DUI,,1
2011,,Escape - Failure to Return,Black,1
2011,,Forgery,Black,1
2011,,Fraudulent ID,White [Hispanic or Latino],1
2011,,Gun - Non UUW,Black,1
2011,,Homicide,,1
2011,,Homicide,Black,5
2011,,Narcotics,Black,13
2011,,Narcotics,HISPANIC,2
2011,,Possession Of Burglary Tools,White,1
2011,,Prostitution,Black,1
2011,,Retail Theft,Black,1
2011,,Robbery,Black,4
2011,,Sex Crimes,Black,2
2011,,Sex Crimes,White,1
2011,,Sex Crimes,White [Hispanic or Latino],1
2011,,Theft,Black,1
2011,,Theft,White,1
2011,,UUW - Unlawful Use of Weapon,Black,9
2011,,UUW - Unlawful Use of Weapon,White [Hispanic or Latino],3
2011,,Vehicular Hijacking,Black,1
2011,,Vehicular Hijacking,White [Hispanic or Latino],3
2011,BFW,Aggravated Battery,White [Hispanic or Latino],1
2011,BFW,Aggravated DUI,HISPANIC,6
2011,BFW,Aggravated DUI,White,5
2011,BFW,Aggravated DUI,White [Hispanic or Latino],9
2011,BFW,Driving With Suspended Or Revoked License,,1
2011,BFW,Driving With Suspended Or Revoked License,HISPANIC,1
2011,BFW,Driving With Suspended Or Revoked License,White,1
2011,BFW,DUI,HISPANIC,3
2011,BFW,Identity Theft,White [Hispanic or Latino],1
2011,BFW,Narcotics,Black,1
2011,BFW,Narcotics,HISPANIC,1
